title_year,aspect_ratio,duration.1,budget,imdb_score,cast_total_facebook_likes,worldwide_gross,production_budget
2015.0,1.85,117.0,130000000.0,7.4,5730.0,518602163.0,130000000.0
2013.0,2.35,146.0,130000000.0,7.6,49355.0,864868047.0,130000000.0
2005.0,1.85,116.0,132000000.0,6.5,12758.0,606836535.0,132000000.0
2003.0,2.35,147.0,130000000.0,6.6,12954.0,273271982.0,130000000.0
2011.0,2.35,90.0,130000000.0,6.7,5046.0,554987477.0,130000000.0
2010.0,2.35,101.0,110000000.0,6.4,12406.0,290650494.0,130000000.0
2011.0,2.35,107.0,135000000.0,7.4,4631.0,373993951.0,130000000.0
2004.0,2.35,142.0,130000000.0,7.8,33284.0,796688549.0,130000000.0
2008.0,2.35,165.0,130000000.0,6.6,921.0,215080810.0,130000000.0
2013.0,2.35,100.0,130000000.0,4.9,14168.0,251499665.0,130000000.0
2000.0,1.85,82.0,127500000.0,6.5,2945.0,356148063.0,127500000.0
2011.0,293304854.7,293304854.7,293304854.7,7.5,11036.0,1341511219.0,125000000.0
2014.0,1.85,98.0,127000000.0,6.2,53587.0,356546621.0,127000000.0
2010.0,2.35,95.0,130000000.0,7.3,46120.0,321887208.0,130000000.0
2001.0,2.35,159.0,125000000.0,7.5,13191.0,974755371.0,125000000.0
2013.0,2.35,96.0,130000000.0,5.6,31549.0,79072464.0,130000000.0
2003.0,2.35,143.0,140000000.0,8.1,48184.0,634954103.0,125000000.0
2010.0,217060008.08,217060008.08,217060008.08,6.4,14719.0,960283305.0,125000000.0
2014.0,2.35,123.0,125000000.0,6.7,81385.0,766652288.0,125000000.0
2006.0,2.35,174.0,125000000.0,6.6,16008.0,767820459.0,125000000.0
2014.0,2.35,101.0,103000000.0,6.4,1031.0,493738435.0,130000000.0
2011.0,2.35,132.0,125000000.0,7.3,55345.0,629969804.0,125000000.0
2011.0,2.35,129.0,125000000.0,7.5,22403.0,535663443.0,125000000.0
1999.0,2.35,102.0,85000000.0,6.6,1815.0,61698899.0,125000000.0
2012.0,2.35,135.0,125000000.0,6.7,12175.0,280355920.0,125000000.0
1997.0,1.85,125.0,125000000.0,3.7,2699.0,238317814.0,125000000.0
2000.0,1.85,110.0,123000000.0,6.0,4146.0,345141403.0,123000000.0
